id,title length,tags count,max tag popularity,avg tag popularity,min tag popularity,total code %,java %,json %,xml %,stack traces %,length,words count,day of week,reputation,intercalations,score,number of answers,max answer score,avg answer score,min answer score,number of comments,max answer length,avg answer length,min answer length
10047356,46,3,987300,329536.6666666667,98,0.5021367521367521,0.5021367521367521,0.0,0.0,0.0,468,47,Friday,447,2,1,2,0,0.0,0,8,1033,563.0,93
10057382,76,5,987300,286698.0,18191,0.0,0.0,0.0,0.0,0.0,243,51,Saturday,380,0,4,3,1,0.6666666666666666,0,2,580,361.0,117
10060674,22,3,1016740,831022.6666666666,489028,0.6452648475120385,0.0,0.0,0.6452648475120385,0.0,623,43,Sunday,652,2,2,2,7,3.5,0,1,328,266.0,204
10065536,39,5,987300,244507.4,4189,0.0,0.0,0.0,0.0,0.0,726,135,Sunday,230,0,3,3,4,2.0,1,3,2114,1109.0,469
10066020,60,3,987300,338017.6666666667,2245,0.20933521923620935,0.20933521923620935,0.0,0.0,0.0,707,107,Sunday,89,2,4,3,6,4.0,1,3,1103,623.6666666666666,233
10069864,66,5,987300,310306.4,1596,0.7662897145934303,0.5078082929456113,0.0,0.10527732902530965,0.0,3714,164,Monday,590,16,4,1,1,1.0,1,2,140,140.0,140
10072367,94,4,987300,263305.25,3615,0.0,0.0,0.0,0.0,0.0,359,52,Monday,1093,0,14,1,32,32.0,32,0,1135,1135.0,1135
10072384,22,3,987300,335481.6666666667,187,0.0,0.0,0.0,0.0,0.0,274,50,Monday,1271,0,0,1,2,2.0,2,0,298,298.0,298
10074766,57,4,987300,449087.0,292,0.6704089815557338,0.6704089815557338,0.0,0.0,0.0,1247,69,Monday,5474,4,1,2,1,1.0,1,2,635,390.0,145
10082677,40,5,987300,358506.6,4122,0.9384732244587922,0.05545005696923661,0.0,0.0,0.0,2633,28,Tuesday,990,4,0,4,1,0.25,0,9,303,201.75,108
10086741,43,3,987300,346594.6666666667,3939,0.5735099337748344,0.5735099337748344,0.0,0.0,0.0,755,55,Tuesday,117,1,0,1,2,2.0,2,0,236,236.0,236
10110581,36,5,987300,217321.2,1157,0.0,0.0,0.0,0.0,0.0,855,121,Wednesday,3334,0,0,1,2,2.0,2,0,272,272.0,272
10115310,70,2,987300,879034.0,770768,0.8592859285928592,0.6237623762376238,0.0,0.23552355235523553,0.0,3333,88,Wednesday,118,4,0,1,0,0.0,0,1,84,84.0,84
10120696,53,2,987300,495717.5,4135,0.0,0.0,0.0,0.0,0.0,394,65,Thursday,904,0,0,1,0,0.0,0,0,389,389.0,389
10125910,72,2,987300,540207.5,93115,0.9330922242314648,0.9330922242314648,0.0,0.0,0.0,553,8,Thursday,207,2,0,1,0,0.0,0,0,397,397.0,397
10130047,23,3,1016740,668114.0,302,0.0,0.0,0.0,0.0,0.0,1108,204,Thursday,1543,0,3,1,3,3.0,3,0,2617,2617.0,2617
10136193,36,1,987300,987300.0,987300,0.7358333333333333,0.7358333333333333,0.0,0.0,0.0,1200,72,Friday,116,4,3,2,2,1.5,1,6,839,696.0,553
10136567,23,3,987300,334153.3333333333,345,0.8863322595490106,0.6976530142659917,0.0,0.18867924528301888,0.0,6519,148,Friday,7275,6,0,1,1,1.0,1,1,136,136.0,136
10154865,34,4,987300,452240.25,11118,0.07152875175315568,0.07152875175315568,0.0,0.0,0.0,713,123,Saturday,82,4,0,2,1,0.5,0,4,350,278.0,206
10158053,62,2,987300,495949.5,4599,0.7958333333333333,0.7958333333333333,0.0,0.0,0.0,960,38,Saturday,1626,1,0,1,2,2.0,2,1,101,101.0,101
10158272,50,4,1016740,624987.0,6880,0.0,0.0,0.0,0.0,0.0,498,100,Saturday,8,0,1,1,1,1.0,1,3,688,688.0,688
10160221,89,3,987300,333667.6666666667,1017,0.0,0.0,0.0,0.0,0.0,671,111,Sunday,110,0,0,1,0,0.0,0,1,190,190.0,190
10182226,49,5,987300,399938.8,44273,0.8078189300411522,0.7234567901234568,0.0,0.0,0.0,2430,86,Monday,21,9,0,2,1,1.0,1,3,358,216.5,75
10184644,31,1,987300,987300.0,987300,0.4138335287221571,0.3071512309495897,0.0,0.0,0.0,853,97,Tuesday,368,6,0,4,4,1.5,0,3,982,790.5,630
10191803,35,1,987300,987300.0,987300,0.7559101654846335,0.7559101654846335,0.0,0.0,0.0,1692,87,Tuesday,674,4,0,0,-,-,-,2,-,-,-
10193407,61,3,987300,342275.6666666667,1539,0.3242506811989101,0.3242506811989101,0.0,0.0,0.0,367,45,Tuesday,1373,1,0,3,2,1.3333333333333333,1,0,341,229.33333333333334,130
10198814,60,2,987300,533067.5,78835,0.4805352798053528,0.4805352798053528,0.0,0.0,0.0,822,83,Tuesday,324,4,1,1,4,4.0,4,0,483,483.0,483
10204038,45,4,987300,247837.25,41,0.0,0.0,0.0,0.0,0.0,148,31,Wednesday,985,0,0,2,1,0.5,0,0,930,614.0,298
10244665,47,4,987300,451599.75,15758,0.0,0.0,0.0,0.0,0.0,205,35,Friday,814,0,0,2,1,0.5,0,2,168,133.0,98
10259895,33,1,987300,987300.0,987300,0.9292076887013596,0.9292076887013596,0.0,0.0,0.0,4266,58,Saturday,23,3,-2,1,0,0.0,0,3,105,105.0,105
10265400,87,3,987300,359059.3333333333,113,0.0,0.0,0.0,0.0,0.0,304,57,Sunday,28,0,1,3,4,1.3333333333333333,-3,1,453,285.0,130
10266804,58,4,987300,253326.5,2525,0.6493108728943339,0.22664624808575803,0.0,0.0,0.4226646248085758,653,45,Sunday,119,3,2,2,10,5.5,1,3,721,506.0,291
10268948,44,4,987300,511613.25,39775,0.0,0.0,0.0,0.0,0.0,503,103,Sunday,606,0,2,2,1,0.5,0,2,155,117.0,79
10271540,17,2,987300,493778.0,256,0.0,0.0,0.0,0.0,0.0,236,46,Sunday,451,0,8,2,15,7.5,0,0,417,326.0,235
10285582,87,5,987300,213505.6,993,0.6094032549728752,0.6094032549728752,0.0,0.0,0.0,2212,150,Monday,13,4,2,4,4,2.25,0,2,3884,1395.25,234
10286165,35,5,987300,423824.2,6907,0.0,0.0,0.0,0.0,0.0,200,37,Monday,19334,0,2,3,2,1.3333333333333333,1,0,839,685.0,390
10294285,65,3,987300,334586.0,370,0.0,0.0,0.0,0.0,0.0,555,101,Tuesday,17266,0,0,1,0,0.0,0,0,301,301.0,301
10299864,36,2,987300,493688.0,76,0.0,0.0,0.0,0.0,0.0,338,62,Tuesday,276,0,2,2,3,1.5,0,0,520,296.0,72
10300088,113,5,987300,223895.4,7258,0.0,0.0,0.0,0.0,0.0,1119,181,Tuesday,4343,0,1,2,1,1.0,1,4,2076,1613.5,1151
10300696,101,5,987300,377637.0,12662,0.7459634015069968,0.7459634015069968,0.0,0.0,0.0,929,45,Tuesday,7701,4,2,1,2,2.0,2,2,98,98.0,98
10311161,29,4,987300,251098.5,512,0.13279132791327913,0.13279132791327913,0.0,0.0,0.0,738,105,Wednesday,14,2,0,2,3,1.5,0,3,685,479.5,274
10314797,68,4,1016740,511662.5,14005,0.0,0.0,0.0,0.0,0.0,170,32,Wednesday,2348,0,2,3,2,1.0,0,0,1995,759.0,90
10330661,72,3,987300,346597.6666666667,18958,0.0,0.0,0.0,0.0,0.0,228,43,Thursday,969,0,0,2,1,0.5,0,5,1442,783.5,125
10343324,56,3,987300,341279.6666666667,12199,0.37570093457943926,0.37570093457943926,0.0,0.0,0.0,2140,206,Friday,391,10,3,1,1,1.0,1,3,515,515.0,515
10344777,78,4,987300,250093.0,1670,0.9640344018764659,0.08522283033620015,0.0,0.0,0.0,6395,43,Friday,404,3,0,1,2,2.0,2,2,1211,1211.0,1211
10345145,53,1,987300,987300.0,987300,0.0,0.0,0.0,0.0,0.0,223,44,Friday,359,0,0,4,2,0.5,0,3,716,556.5,454
10346392,32,3,987300,347517.0,17263,0.5887218045112782,0.5887218045112782,0.0,0.0,0.0,1330,99,Friday,21,4,0,1,0,0.0,0,11,187,187.0,187
10347080,65,5,987300,527804.4,34479,0.5157342657342657,0.5157342657342657,0.0,0.0,0.0,572,52,Friday,457,1,1,2,0,0.0,0,6,513,394.5,276
10365964,59,4,1016740,517779.0,29249,0.0,0.0,0.0,0.0,0.0,142,25,Saturday,1,0,0,1,1,1.0,1,2,222,222.0,222
10366427,68,4,987300,279896.5,24104,0.661437908496732,0.661437908496732,0.0,0.0,0.0,1530,97,Saturday,122,4,0,2,1,0.5,0,1,673,366.0,59
10367215,27,1,987300,987300.0,987300,0.0,0.0,0.0,0.0,0.0,473,85,Saturday,1480,0,5,2,6,3.0,0,2,1208,1026.0,844
10385148,54,2,987300,495361.5,3423,0.444743935309973,0.10175202156334232,0.0,0.0,0.34299191374663074,1484,166,Monday,3074,5,9,5,12,3.0,-1,3,212,139.2,63
10387290,63,2,987300,493805.5,311,0.0,0.0,0.0,0.0,0.0,377,74,Monday,699,0,14,4,13,3.75,0,1,1650,605.5,65
10408749,27,3,987300,339078.6666666667,13454,0.8515579640023224,0.0,0.0,0.0,0.0,5167,146,Wednesday,196,2,0,2,2,1.0,0,3,357,308.5,260
10412611,77,2,987300,494343.5,1387,0.0,0.0,0.0,0.0,0.0,205,31,Wednesday,1609,0,0,1,5,5.0,5,2,1301,1301.0,1301
10414393,76,2,987300,493709.0,118,0.2804878048780488,0.2804878048780488,0.0,0.0,0.0,328,40,Wednesday,173,2,1,4,1,0.75,0,0,1398,549.5,58
1041575,45,3,987300,330129.3333333333,1044,0.0,0.0,0.0,0.0,0.0,150,29,Thursday,731,0,2,4,1,0.75,0,2,346,260.75,187
10420118,82,2,987300,560878.0,134456,0.37422037422037424,0.37422037422037424,0.0,0.0,0.0,1924,207,Wednesday,2062,2,1,6,2,0.6666666666666666,0,0,1172,727.3333333333334,293
10427302,38,4,987300,263404.0,753,0.5092889173606663,0.5092889173606663,0.0,0.0,0.0,1561,168,Thursday,36,2,0,1,1,1.0,1,1,697,697.0,697
10445337,53,3,987300,615944.3333333334,89765,0.0,0.0,0.0,0.0,0.0,478,90,Friday,12275,0,0,5,1,0.6,0,4,562,236.0,30
1045015,75,1,987300,987300.0,987300,0.0,0.0,0.0,0.0,0.0,508,85,Thursday,936,0,2,4,1,1.0,1,0,730,454.0,193
10460023,52,3,987300,340622.6666666667,698,0.2867132867132867,0.2867132867132867,0.0,0.0,0.0,1001,120,Saturday,385,4,1,2,0,0.0,0,2,423,359.0,295
10473277,49,4,987300,247863.0,703,0.0,0.0,0.0,0.0,0.0,784,154,Sunday,23,0,4,3,5,1.6666666666666667,0,0,898,453.6666666666667,165
10477813,62,3,987300,599151.6666666666,39387,0.0,0.0,0.0,0.0,0.0,201,39,Monday,121,0,0,1,1,1.0,1,2,268,268.0,268
10483010,32,5,987300,228394.4,4050,0.7965050732807215,0.7965050732807215,0.0,0.0,0.0,1774,73,Monday,58,4,-9,3,2,1.0,0,5,900,363.6666666666667,91
10486682,42,4,1016740,510526.75,240,0.72,0.72,0.0,0.0,0.0,450,21,Monday,2016,2,0,2,0,0.0,0,2,394,329.0,264
10490328,42,3,987300,331067.3333333333,2577,0.0,0.0,0.0,0.0,0.0,417,83,Monday,106,0,0,0,-,-,-,3,-,-,-
10506819,97,3,987300,365572.3333333333,31159,0.7428123366440146,0.0,0.0,0.0,0.0,1913,72,Tuesday,2379,2,3,2,3,1.5,0,1,121,114.0,107
10514479,37,4,987300,268635.0,18958,0.8090705487122061,0.8090705487122061,0.0,0.0,0.0,1786,65,Wednesday,466,4,1,5,2,0.6,0,0,1405,628.6,82
1052893,86,4,987300,275864.25,24762,0.6980410893454372,0.6980410893454372,0.0,0.0,0.0,2093,117,Saturday,7465,4,2,3,2,1.6666666666666667,1,2,1250,1131.3333333333333,943
10535681,34,3,987300,340344.0,197,0.0,0.0,0.0,0.0,0.0,188,38,Thursday,82,0,3,1,2,2.0,2,0,216,216.0,216
10543336,42,4,987300,252696.5,1416,0.0,0.0,0.0,0.0,0.0,160,30,Thursday,2009,0,3,2,6,2.5,-1,8,1211,668.0,125
10547335,69,4,987300,250236.5,78,0.4344569288389513,0.4344569288389513,0.0,0.0,0.0,1068,89,Friday,4392,2,2,4,1,1.0,1,0,808,560.75,325
10548399,58,2,987300,505820.0,24340,0.26545842217484006,0.12473347547974413,0.0,0.0,0.0,938,127,Friday,447,4,2,3,3,2.0,1,2,712,441.3333333333333,227
10549381,38,2,987300,510585.0,33870,0.4797297297297297,0.18243243243243243,0.0,0.0,0.0,444,48,Friday,862,4,4,6,4,1.6666666666666667,0,5,722,380.3333333333333,119
10573759,47,2,987300,494987.0,2674,0.33938706015891035,0.33938706015891035,0.0,0.0,0.0,881,103,Sunday,1012,6,0,2,2,1.0,0,0,384,252.5,121
10574556,71,5,987300,360524.2,2826,0.616692426584235,0.616692426584235,0.0,0.0,0.0,647,52,Sunday,548,3,0,2,0,0.0,0,1,655,480.5,306
10581153,15,3,987300,329563.0,118,0.1482843137254902,0.1482843137254902,0.0,0.0,0.0,816,108,Monday,773,4,3,2,4,2.5,1,2,482,480.0,478
10584940,48,4,987300,275136.25,1172,0.9519774011299436,0.259348937315039,0.0,0.0,0.6926284638149045,7434,67,Monday,61,10,0,2,1,0.5,0,0,915,528.5,142
10585343,60,4,987300,448425.5,1413,0.42870456663560114,0.42870456663560114,0.0,0.0,0.0,2146,247,Monday,3867,2,1,2,1,0.5,0,0,970,555.5,141
10585573,44,2,987300,522424.5,57549,0.0,0.0,0.0,0.0,0.0,251,51,Monday,405,0,1,2,3,2.5,2,0,477,294.0,111
10590278,42,3,987300,349003.3333333333,2161,0.8909090909090909,0.8909090909090909,0.0,0.0,0.0,1265,30,Monday,2138,2,0,2,3,2.5,2,0,1016,704.0,392
10598107,42,5,987300,281149.0,1127,0.3387096774193548,0.0,0.0,0.3387096774193548,0.0,620,76,Tuesday,966,1,1,0,-,-,-,5,-,-,-
10618757,53,5,987300,201153.4,462,0.8453663793103449,0.8453663793103449,0.0,0.0,0.0,5568,159,Wednesday,699,4,6,3,12,5.666666666666667,1,4,6265,2672.0,42
10624173,47,4,987300,253557.0,14,0.0,0.0,0.0,0.0,0.0,276,51,Wednesday,265,0,0,2,1,0.5,0,2,1722,930.5,139
10646098,43,3,987300,361143.3333333333,40604,0.42174629324546953,0.42174629324546953,0.0,0.0,0.0,607,65,Friday,487,1,2,2,1,0.5,0,0,357,329.5,302
10654382,24,2,987300,494972.0,2644,0.6358620689655172,0.6358620689655172,0.0,0.0,0.0,1450,113,Friday,2972,4,0,1,1,1.0,1,2,270,270.0,270
10658751,51,3,987300,504021.0,10679,0.38144329896907214,0.23539518900343642,0.0,0.0,0.0,582,67,Friday,102,6,2,2,5,2.5,0,2,2643,1391.0,139
10660286,40,4,987300,248073.0,724,0.4873501997336884,0.43541944074567246,0.0,0.0,0.0,751,73,Friday,727,3,1,2,2,1.0,0,1,661,541.5,422
10668626,58,5,987300,198948.8,679,0.4918181818181818,0.4918181818181818,0.0,0.0,0.0,1100,114,Saturday,234,2,1,2,0,0.0,0,7,383,290.5,198
10686910,44,5,987300,308546.0,2270,0.7150890346766635,0.7150890346766635,0.0,0.0,0.0,1067,60,Monday,463,2,3,3,6,2.6666666666666665,0,1,1147,589.0,297
10687200,40,3,987300,336563.3333333333,305,0.0,0.0,0.0,0.0,0.0,950,183,Monday,36,0,7,3,7,4.666666666666667,0,0,2681,1574.3333333333333,96
10689193,66,3,987300,344174.3333333333,3487,0.44642857142857145,0.44642857142857145,0.0,0.0,0.0,336,38,Monday,607,2,4,1,7,7.0,7,2,886,886.0,886
10694235,52,2,987300,504873.5,22447,0.5775978407557355,0.5775978407557355,0.0,0.0,0.0,741,60,Tuesday,38,1,1,4,2,1.25,1,0,1010,459.25,243
10716777,56,4,987300,357381.0,17677,0.0,0.0,0.0,0.0,0.0,843,156,Wednesday,21,0,0,2,2,1.5,1,0,393,301.5,210
10732036,39,3,987300,335450.3333333333,93,0.0,0.0,0.0,0.0,0.0,339,65,Thursday,4597,0,0,1,1,1.0,1,5,75,75.0,75
10740547,56,5,987300,214106.0,420,0.0,0.0,0.0,0.0,0.0,503,100,Thursday,715,0,0,2,1,1.0,1,0,1026,583.0,140
10743455,50,4,987300,259247.25,5644,0.0,0.0,0.0,0.0,0.0,469,99,Thursday,1988,0,0,2,0,0.0,0,1,131,110.5,90
10743715,35,3,987300,402527.0,16306,0.748335552596538,0.5419440745672437,0.0,0.0,0.0,751,41,Thursday,406,3,1,2,2,1.5,1,4,917,505.0,93
10744208,82,4,987300,266974.25,793,0.7746585735963581,0.7746585735963581,0.0,0.0,0.0,2636,119,Thursday,156,4,0,2,2,1.5,1,1,463,347.5,232
10747116,85,5,987300,213570.6,2202,0.3202614379084967,0.3202614379084967,0.0,0.0,0.0,459,64,Friday,350,4,0,1,0,0.0,0,0,301,301.0,301
10747532,34,5,987300,212265.8,980,0.7734724292101341,0.7734724292101341,0.0,0.0,0.0,671,30,Friday,37,1,1,1,2,2.0,2,0,865,865.0,865
10747633,89,5,987300,226420.8,11493,0.3395348837209302,0.16744186046511628,0.0,0.17209302325581396,0.0,1075,117,Friday,2297,4,3,2,0,0.0,0,3,125,104.5,84
10752708,85,3,987300,340138.6666666667,8476,0.7104689203925845,0.0,0.0,0.0,0.7104689203925845,1834,102,Friday,420,2,1,2,3,2.5,2,6,395,350.0,305
10760667,52,5,987300,241924.4,12199,0.8690650491528968,0.198703200167329,0.0,0.2150177787073834,0.0,4781,122,Friday,1057,5,0,1,1,1.0,1,11,434,434.0,434
10762058,28,3,987300,590089.0,12199,0.19407894736842105,0.0,0.0,0.0,0.0,304,41,Friday,734,2,-1,1,0,0.0,0,2,181,181.0,181
10763928,32,2,987300,533067.5,78835,0.49534450651769085,0.28677839851024206,0.0,0.0,0.2085661080074488,1074,90,Saturday,2778,4,7,4,4,2.5,0,1,2923,1605.75,271
10772362,67,4,987300,441809.5,3256,0.0,0.0,0.0,0.0,0.0,83,11,Sunday,104,0,-4,2,2,1.0,0,1,1088,637.0,186
10775402,47,3,987300,332100.6666666667,2122,0.9292346298619825,0.9292346298619825,0.0,0.0,0.0,3985,53,Sunday,12,1,1,3,1,0.6666666666666666,0,1,1473,646.6666666666666,227
10778716,48,5,987300,212793.8,228,0.9371136791185165,0.9371136791185165,0.0,0.0,0.0,3721,51,Monday,192,1,2,1,3,3.0,3,3,3648,3648.0,3648
10790243,52,4,1016740,511865.0,14815,0.46236559139784944,0.0,0.0,0.46236559139784944,0.0,837,85,Monday,140,2,0,0,-,-,-,7,-,-,-
10791502,53,4,987300,270156.0,90,0.0,0.0,0.0,0.0,0.0,632,117,Monday,822,0,0,2,1,0.5,0,5,929,863.0,797
10795121,29,3,987300,628845.6666666666,128469,0.5098039215686274,0.3058823529411765,0.0,0.20392156862745098,0.0,255,23,Tuesday,3,2,0,3,0,0.0,0,0,1421,738.3333333333334,362
10807189,64,3,987300,338506.6666666667,6880,0.8074405787116776,0.8074405787116776,0.0,0.0,0.0,2903,101,Tuesday,11,3,0,1,0,0.0,0,0,874,874.0,874
10809637,76,1,987300,987300.0,987300,0.0,0.0,0.0,0.0,0.0,287,54,Wednesday,3885,0,1,1,3,3.0,3,1,932,932.0,932
10816442,49,5,987300,208634.2,154,0.5791601866251944,0.35272161741835145,0.0,0.2264385692068429,0.0,3215,196,Wednesday,39,4,1,0,-,-,-,6,-,-,-
10819360,51,3,987300,348308.6666666667,77,0.5392091152815014,0.5392091152815014,0.0,0.0,0.0,2984,246,Wednesday,1,3,0,2,2,1.5,1,5,211,186.5,162
10820185,42,3,987300,342130.0,9841,0.22640218878248974,0.22640218878248974,0.0,0.0,0.0,2924,408,Wednesday,27,9,0,1,3,3.0,3,11,495,495.0,495
10825405,24,5,987300,199389.4,655,0.8125623130608175,0.8125623130608175,0.0,0.0,0.0,1003,39,Wednesday,80,3,0,1,1,1.0,1,2,378,378.0,378
10826681,51,3,987300,632359.0,139009,0.7521079258010118,0.7521079258010118,0.0,0.0,0.0,593,29,Thursday,554,4,0,5,3,1.6,0,1,473,331.0,129
10826715,37,4,987300,265669.25,16025,0.5700236034618411,0.44099134539732493,0.0,0.0,0.0,2542,223,Thursday,10,4,-2,1,1,1.0,1,4,751,751.0,751
10827901,45,4,987300,295158.75,50633,0.0,0.0,0.0,0.0,0.0,570,104,Thursday,528,0,1,4,2,0.75,0,0,1303,868.75,242
10865586,64,3,987300,586453.6666666666,1293,0.20770877944325483,0.20770877944325483,0.0,0.0,0.0,467,62,Saturday,99,2,0,0,-,-,-,3,-,-,-
10870413,25,4,987300,439714.0,114,0.48804251550044286,0.48804251550044286,0.0,0.0,0.0,1129,109,Sunday,2537,4,1,1,1,1.0,1,1,894,894.0,894
10870973,27,2,987300,522424.5,57549,0.6972972972972973,0.6972972972972973,0.0,0.0,0.0,740,47,Sunday,14,2,2,1,4,4.0,4,0,114,114.0,114
10879347,44,4,987300,255751.5,224,0.5646606914212549,0.5646606914212549,0.0,0.0,0.0,781,59,Monday,71,4,1,4,2,1.0,0,2,1528,610.0,111
10880809,53,2,987300,502361.5,17423,0.0,0.0,0.0,0.0,0.0,211,44,Monday,945,0,3,4,2,1.0,0,1,119,97.75,63
10881299,47,4,987300,288566.5,31159,0.7199408065112838,0.4480207177210507,0.0,0.27192008879023305,0.0,2703,130,Monday,78,8,0,1,1,1.0,1,0,299,299.0,299
10888758,35,5,987300,208102.8,4674,0.38091660405709993,0.38091660405709993,0.0,0.0,0.0,1331,144,Monday,610,6,1,4,4,1.25,0,2,714,508.5,247
10895743,55,5,987300,310190.4,12903,0.16283185840707964,0.16283185840707964,0.0,0.0,0.0,565,79,Tuesday,166,2,1,2,3,2.5,2,2,365,255.5,146
10897486,28,2,987300,495087.0,2874,0.8594091903719913,0.47319474835886216,0.0,0.0,0.3862144420131291,1828,49,Tuesday,560,4,0,3,0,0.0,0,5,757,499.3333333333333,326
10899720,69,4,987300,256720.0,90,0.11145038167938931,0.0,0.0,0.0,0.0,655,96,Tuesday,159,2,1,2,1,0.5,0,0,655,549.0,443
10906997,70,3,987300,346864.6666666667,24034,0.6585838991270611,0.6585838991270611,0.0,0.0,0.0,1031,65,Wednesday,1198,1,1,2,3,2.0,1,0,841,602.0,363
10908329,56,3,987300,361293.6666666667,26646,0.0,0.0,0.0,0.0,0.0,272,52,Wednesday,24,0,1,2,0,0.0,0,7,294,185.0,76
10936419,50,4,987300,251569.25,447,0.7785234899328859,0.7544742729306487,0.0,0.024049217002237135,0.0,1788,75,Thursday,128,4,0,1,0,0.0,0,0,389,389.0,389
10944283,27,2,987300,497275.0,7250,0.6802325581395349,0.6802325581395349,0.0,0.0,0.0,1548,89,Friday,2044,2,1,2,1,0.5,0,0,288,229.0,170
10944448,26,3,987300,329304.3333333333,63,0.6090225563909775,0.5939849624060151,0.0,0.0,0.0,399,29,Friday,190,3,5,2,12,7.5,3,0,368,253.5,139
10954166,83,3,987300,341474.0,1481,0.1624015748031496,0.04461942257217848,0.0,0.0,0.0,3048,459,Friday,1718,4,11,7,7,2.7142857142857144,1,2,2678,1017.8571428571429,228
10964975,53,3,987300,334699.0,315,0.8296650717703349,0.8296650717703349,0.0,0.0,0.0,1045,32,Saturday,22,1,1,2,1,1.0,1,0,485,374.0,263
10969608,23,4,987300,254567.75,2097,0.0,0.0,0.0,0.0,0.0,386,80,Sunday,43,0,0,2,0,0.0,0,1,619,408.0,197
10992645,65,5,987300,202947.0,200,0.8575678690963183,0.2439568612867237,0.0,0.0,0.0,2689,76,Tuesday,660,7,4,4,9,1.75,-2,9,314,234.5,163
11004652,35,4,987300,261351.0,202,0.0,0.0,0.0,0.0,0.0,211,43,Tuesday,156,0,0,1,4,4.0,4,5,95,95.0,95
11012669,26,4,987300,442872.0,2249,0.9281437125748503,0.6128512206356518,0.0,0.0,0.0,4342,60,Wednesday,36,8,4,1,9,9.0,9,0,371,371.0,371
11028993,43,2,987300,494657.0,2014,0.511520737327189,0.511520737327189,0.0,0.0,0.0,1302,123,Thursday,20235,2,4,2,0,0.0,0,2,779,539.0,299
11031525,35,4,987300,313902.5,38750,0.0,0.0,0.0,0.0,0.0,214,34,Thursday,2271,0,2,2,2,2.0,2,1,411,410.5,410
11033580,54,5,987300,202871.8,1068,0.0,0.0,0.0,0.0,0.0,160,26,Thursday,1,0,0,0,-,-,-,6,-,-,-
1103522,94,4,987300,267779.75,8643,0.0,0.0,0.0,0.0,0.0,243,47,Thursday,2379,0,23,11,59,7.545454545454546,0,10,1187,550.4545454545455,32
1103701,47,3,987300,378153.6666666667,18692,0.0,0.0,0.0,0.0,0.0,455,77,Thursday,11,0,2,3,1,0.3333333333333333,0,1,3090,1181.3333333333333,187
11038874,39,5,987300,212858.8,682,0.0,0.0,0.0,0.0,0.0,691,120,Thursday,385,0,1,1,2,2.0,2,0,3152,3152.0,3152
1105413,16,2,987300,494713.5,2127,0.0,0.0,0.0,0.0,0.0,224,42,Thursday,No owner,0,5,4,8,2.75,0,1,466,300.0,149
11063641,30,4,987300,442697.75,1537,0.4320685434516524,0.4320685434516524,0.0,0.0,0.0,817,84,Saturday,435,2,1,1,0,0.0,0,2,598,598.0,598
11064155,68,2,987300,494459.5,1619,0.3927855711422846,0.3927855711422846,0.0,0.0,0.0,499,56,Saturday,25,2,1,2,1,0.5,0,0,687,619.0,551
11069038,29,1,987300,987300.0,987300,0.8326530612244898,0.0,0.0,0.0,0.0,1225,44,Sunday,6,1,1,1,0,0.0,0,2,363,363.0,363
11087883,52,5,987300,357519.6,313,0.0,0.0,0.0,0.0,0.0,411,81,Monday,1639,0,3,1,2,2.0,2,1,130,130.0,130
